"Data";"Acumulado"
2020-02-03;17,15
2020-03-02;17,06
2020-04-01;19,6
2020-05-04;19,62
2020-06-01;21,58
2020-07-01;21,76
2020-08-03;20,44
2020-09-01;19,99
2020-10-01;24,69
2020-11-03;26,31
2020-12-01;26,81
2021-01-04;26,28
2021-02-01;25,96
2021-03-01;24,76
2021-04-01;26,71
2021-05-03;23,17
2021-06-01;21,42
2021-07-01;20,91
2021-08-02;21,23
2021-09-01;23,99
2021-10-01;23,06
2021-10-21;20,18
